code,description
1014081,Open treatment of periarticular fracture and/or dislocation of the elbow (fracture distal humerus and proximal ulna and/or proximal radius) 
1014082,"Open treatment of radial head or neck fracture, includes internal fixation or radial head excision, when performed "
1014083,"Synovectomy, extensor tendon sheath, wrist, single compartment "
1014084,Excision or curettage of bone cyst or benign tumor of radius or ulna (excluding head or neck of radius and olecranon process) 
1014086,Excision or curettage of bone cyst or benign tumor of carpal bones 
1014088,"Flexor origin slide (eg, for cerebral palsy, Volkmann contracture), forearm and/or wrist "
1014089,"Amputation, forearm, through radius and ulna "
1014092,Disarticulation through wrist 
1014094,Transmetacarpal amputation 
1014096,"Fasciectomy, partial palmar with release of single digit including proximal interphalangeal joint, with or without Z-plasty, other local tissue rearrangement, or skin grafting (includes obtaining graft) "
1014097,Excision or curettage of bone cyst or benign tumor of metacarpal 
1014098,"Excision or curettage of bone cyst or benign tumor of proximal, middle, or distal phalanx of finger "
1014101,"Repair or advancement, flexor tendon, in zone 2 digital flexor tendon sheath (eg, no man's land) "
1014103,"Arthrodesis, carpometacarpal joint, thumb, with or without internal fixation "
1014104,"Arthrodesis, carpometacarpal joint, digit, other than thumb, each "
1014105,"Arthrodesis, metacarpophalangeal joint, with or without internal fixation "
1014106,"Arthrodesis, interphalangeal joint, with or without internal fixation "
1014109,"Osteotomy, iliac, acetabular or innominate bone "
1014112,"Open treatment of spontaneous hip dislocation (developmental, including congenital or pathological), replacement of femoral head in acetabulum (including tenotomy, etc) "
1014113,Excision or curettage of bone cyst or benign tumor of femur 
1014116,Reconstruction of dislocating patella 
1014118,"Arthroplasty, knee, tibial plateau "
1014119,"Arthroplasty, femoral condyles or tibial plateau(s), knee "
1014120,"Decompression fasciotomy, thigh and/or knee, 1 compartment (flexor or extensor or adductor) "
1014121,"Decompression fasciotomy, thigh and/or knee, multiple compartments "
1014122,"Arrest, epiphyseal (epiphysiodesis), any method, combined, proximal and distal tibia and fibula "
1014123,"Excision or curettage of bone cyst or benign tumor, tarsal or metatarsal, except talus or calcaneus "
1014125,"Removal of lung, pneumonectomy "
1014127,"Thoracoplasty, Schede type or extrapleural (all stages) "
1014128,"Transmyocardial laser revascularization, by thoracotomy "
1014130,"Valvuloplasty, mitral valve, with cardiopulmonary bypass "
1014132,Repair of double outlet right ventricle with intraventricular tunnel repair 
1014133,"Closure of single ventricular septal defect, with or without patch "
1014135,Complete repair tetralogy of Fallot without pulmonary atresia 
1014136,"Repair sinus of Valsalva fistula, with cardiopulmonary bypass "
1014139,
1014140,
1014142,"Parotid duct diversion, bilateral (Wilke type procedure) "
1014145,"Laparoscopy, surgical, gastric restrictive procedure "
1014146,"Gastric restrictive procedure, with gastric bypass for morbid obesity "
1014147,"Closure of enterostomy, large or small intestine "
1014149,"Laparoscopy, surgical "
1014150,"Laparoscopy, surgical "
1014151,Closure of rectovesical fistula 
1014152,Closure of rectourethral fistula 
1014153,Cholecystectomy 
1014154,Cholecystectomy with exploration of common duct 
1014156,"Placement of drains, peripancreatic, for acute pancreatitis "
1014157,"Nephrectomy, including partial ureterectomy, any open approach including rib resection "
1014159,"Renal endoscopy through established nephrostomy or pyelostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service "
1014164,"Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service "
1014169,Revision of urinary-cutaneous anastomosis (any type urostomy) 
1014170,"Ureteral endoscopy through established ureterostomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service "
1014174,"Cystectomy, complete, with ureteroileal conduit or sigmoid bladder, including intestine anastomosis "
1014175,Closure of vesicouterine fistula 
1014176,"Cystourethroscopy, with ureteral catheterization, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service "
1014177,Injection procedure for Peyronie disease 
1014178,Plastic operation on penis for epispadias distal to external sphincter 
1014180,Vesiculotomy 
1014181,"Prostatectomy, perineal radical "
1014183,"Prostatectomy, retropubic radical, with or without nerve sparing "
1014185,"Exposure of prostate, any approach, for insertion of radioactive substance "
1014187,"Vulvectomy, radical, partial "
1014189,"Vulvectomy, radical, complete "
1014191,Colposcopy of the vulva 
1014192,"Vaginectomy, complete removal of vaginal wall "
1014194,
1014195,Closure of urethrovaginal fistula 
1014196,"Colposcopy of the entire vagina, with cervix if present "
1014197,Colposcopy of the cervix including upper/adjacent vagina 
1014202,"Excision of cervical stump, abdominal approach "
1014203,"Excision of cervical stump, vaginal approach "
1014205,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s) "
1014206,"Vaginal hysterectomy, for uterus 250 g or less "
1014210,"Vaginal hysterectomy, with total or partial vaginectomy "
1014211,"Laparoscopy, surgical, with vaginal hysterectomy, for uterus 250 g or less "
1014212,"Laparoscopy, surgical, with vaginal hysterectomy, for uterus greater than 250 g "
1014213,"Oophorectomy, partial or total, unilateral or bilateral "
1014214,"Resection (initial) of ovarian, tubal or primary peritoneal malignancy with bilateral salpingo-oophorectomy and omentectomy "
1014216,"Bilateral salpingo-oophorectomy with omentectomy, total abdominal hysterectomy and radical dissection for debulking "
1014217,Vaginal delivery only (with or without episiotomy and/or forceps) 
1014218,Cesarean delivery only 
1014219,"Vaginal delivery only, after previous cesarean delivery (with or without episiotomy and/or forceps) "
1014220,"Cesarean delivery only, following attempted vaginal delivery after previous cesarean delivery "
1014221,"Induced abortion, by 1 or more intra-amniotic injections (amniocentesis-injections), including hospital admission and visits, delivery of fetus and secundines "
1014223,"Induced abortion, by 1 or more vaginal suppositories (eg, prostaglandin) with or without cervical dilation (eg, laminaria), including hospital admission and visits, delivery of fetus and secundines "
1014225,Excision of thyroglossal duct cyst or sinus 
1014226,Parathyroidectomy or exploration of parathyroid(s) 
1014228,"Adrenalectomy, partial or complete, or exploration of adrenal gland with or without biopsy, transabdominal, lumbar or dorsal (separate procedure) "
1014231,"Craniectomy, bone flap craniotomy, transtemporal (mastoid) for excision of cerebellopontine angle tumor "
1014232,"Transoral approach to skull base, brain stem or upper spinal cord for biopsy, decompression or excision of lesion "
1014233,"Stereotactic biopsy, aspiration, or excision, including burr hole(s), for intracranial lesion "
1014234,"Ventriculocisternostomy, third ventricle "
1014235,"Laminoplasty, cervical, with decompression of the spinal cord, 2 or more vertebral segments "
1014236,"Vertebral corpectomy (vertebral body resection), partial or complete, lateral extracavitary approach with decompression of spinal cord and/or nerve root(s) (eg, for tumor or retropulsed bone fragments) "
1014238,"Vitrectomy, mechanical, pars plana approach "
1014241,"Construction of intermarginal adhesions, median tarsorrhaphy, or canthorrhaphy "
1014242,"Probing of nasolacrimal duct, with or without irrigation "
1014244,"Stapedectomy or stapedotomy with reestablishment of ossicular continuity, with or without use of foreign material "
1014245,
1014248,
1014249,
1014250,
1014251,"Urography, infusion, drip technique and/or bolus technique "
1014252,"Ophthalmic ultrasound, diagnostic "
1014256,"Ophthalmic biometry by ultrasound echography, A-scan "
1014257,"Echocardiography, fetal, cardiovascular system, real time with image documentation (2D), with or without M-mode recording "
1014258,"Ultrasound, transrectal "
1014259,
1014260,
1014261,Salivary gland imaging 
1014263,Procainamide 
1014264,Cyanocobalamin (Vitamin B-12) 
1014265,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation) "
1014266,"Lactate dehydrogenase (LD), (LDH) "
1014267,"Lactoferrin, fecal "
1014268,"Phosphatase, alkaline "
1014270,Phosphorus inorganic (phosphate) 
1014271,Prothrombin time 
1014272,Antinuclear antibodies (ANA) 
1014273,C-reactive protein 
1014274,Hepatitis C antibody 
1014275,"Culture, presumptive, pathogenic organisms, screening only "
1014276,Pathology consultation during surgery 
1014280,"Protein analysis of tissue by Western Blot, with interpretation and report "
1014281,"Cell count, miscellaneous body fluids (eg, cerebrospinal fluid, joint fluid), except blood "
1014295,Esophageal motility (manometric study of the esophagus and/or gastroesophageal junction) study with interpretation and report 
1014297,Speech audiometry threshold 
1014299,
1014300,
1014301,
1014302,Esophageal recording of atrial electrogram with or without ventricular electrogram(s) 
1014303,"Electrophysiologic evaluation of single or dual chamber pacing cardioverter-defibrillator leads including defibrillation threshold evaluation (induction of arrhythmia, evaluation of sensing and pacing for arrhythmia termination) at time of initial impl... "
1014304,Ambulatory continuous glucose monitoring of interstitial tissue fluid via a subcutaneous sensor for a minimum of 72 hours 
1014305,
1014306,Comprehensive computer-based motion analysis by video-taping and 3D kinematics 
1014307,
1014309,"Critical care, evaluation and management of the critically ill or critically injured patient "
1014310,"Individual physician supervision of a patient (patient not present) in home, domiciliary or rest home (eg, assisted living facility) requiring complex and multidisciplinary care modalities involving regular physician development and/or revision of care... "
1014311,Guidelines for Current Procedural Terminology Concepts 
1014405,Category III Codes 
1014458,"Focused ultrasound ablation of uterine leiomyomata, including MR guidance "
1014464,
1014503,"Quantitative sensory testing (QST), testing and interpretation per extremity "
1014507,Category II Codes 
1014508,Composite Measures 
1014511,Patient Management 
1014516,Patient History 
1014526,Physical Examination 
1014532,Diagnostic/Screening Processes or Results 
1014535,"Therapeutic, Preventive or Other Interventions "
1014549,Follow-up or Other Outcomes 
1014550,Patient Safety 
1014565,"Excision, sacral pressure ulcer, with primary suture "
1014566,"Excision, sacral pressure ulcer, with skin flap closure "
1014567,"Excision, ischial pressure ulcer, with primary suture "
1014568,"Excision, ischial pressure ulcer, with skin flap closure "
1014569,"Excision, trochanteric pressure ulcer, with primary suture "
1014570,"Excision, trochanteric pressure ulcer, with skin flap closure "
1014571,Puncture aspiration of cyst of breast 
1014573,
1014574,Radical resection of sternum 
